"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-107.624817310498,-83.6248173104976,-28.1839388321333,1.00608712955442,0.899622470522552,0.0424186709630249,-1.55364598969371,1.75450982326898,-0.513726231909792,1.9780488347121,1.0490296568681,0.184365318306944,-3.45055125333233,2.52298013270908,-0.526826519408354
1,7.8390175405837e-06,-107.624646309813,1,-83.6248173104991,-28.1839388321349,1.00608711253028,0.899622438995896,0.0424186633755475,-1.5536459996628,1.75450985270345,-0.513726235495814,1.97804879004322,1.0490296378081,0.184365295538839,-3.45055117657011,2.52298010140929,-0.526826507945779
1,0.000148148148148148,-107.621585600437,1,-83.6248173105021,-28.1839388321378,1.00608711873282,0.899621899737482,0.0424186270883824,-1.55364593224869,1.75450994544949,-0.513726212620417,1.97804871808887,1.04902898498192,0.184365135815107,-3.45055076046232,2.52297998885693,-0.526826434766508
1,0.00279982455532194,-107.563741941695,1,-83.624817308201,-28.1839388298368,1.00608711874607,0.899611768687203,0.0424179837774848,-1.55364409328102,1.75451110832127,-0.513725680128116,1.97804871768768,1.0490169438324,0.18436213573937,-3.45054425700405,2.52297849279837,-0.526825197552958
1,0.05291336839894,-106.492422490847,1000,-83.6245949373005,-28.1837164589362,0.991779595036437,0.89149520775612,0.0412122433946243,-1.53916532326623,1.75379784282185,-0.513521830134155,1.91555641039676,1.02483377782634,0.181579363388523,-3.37385327130089,2.50751068555592,-0.526165040567973
1,1,-93.5961461341674,1000,-83.5564552230845,-28.1155767447202,0.636815876627197,0.715196120274625,0.0203729620405427,-1.16579731734696,1.72365612301754,-0.511206644635496,0.800640927759351,0.58146183781965,0.129944941389917,-2.0483465873443,2.27635047371893,-0.519116938639608
1,18.8988157484231,-88.1384900671928,215,-83.6177251527711,-37.4169930874676,-0.427565732056196,0.0685808894709328,0.00693789016278468,0,1.4887715150913,-0.460192468821912,-0.567520603768337,0.0144809174890092,0.0442519712537939,0,1.46845468661806,-0.418745786634287
1,357.165236692845,-20.9439450074089,28,-24.3102498622208,-5.82995703609938,0.423601612794878,0,0,0,0,-0.0751018813330972,0.367513576111983,0,0,0,0,-0.0626402754250352
1,6750,12.6389492781199,2,16.6389492781199,25.8790956911806,0.423627740644542,0,0,0,0,0,0.367541059987168,0,0,0,0,0
1,127567.006301856,12.6389492781199,1,16.6389492781199,25.8790956911806,0.423627740644542,0,0,0,0,0,0.367541059987168,0,0,0,0,0
2,0,0,-107.50910192444,-83.5091019244396,-28.0682234460754,0.615906666555945,0.476013273989557,0.0708147139048707,-2.17326613171648,2.86349097374449,-0.68082199330343,0.331193633481663,0.085910916939941,-0.0940690996275563,-1.77212312682264,2.57711817862933,-0.539550809212231
2,7.8390175405837e-06,-107.508895363816,1,-83.509101924871,-28.0682234465067,0.615905193016413,0.47601386284507,0.0708147048457094,-2.17326541174703,2.86349068842016,-0.680821949564132,0.331194191211076,0.0859093161860543,-0.0940689528249176,-1.77212318002298,2.57711858296842,-0.539550839240503
2,0.000148148148148148,-107.505198168332,1,-83.5091019254055,-28.0682234470413,0.615904657372524,0.476011071141708,0.0708142509676289,-2.17326323940389,2.86349015320408,-0.680821773721401,0.33119385296845,0.0859087139062926,-0.0940685360262562,-1.7721240205668,2.57711937232996,-0.539550908284328
2,0.00279982455532194,-107.435326017926,1,-83.509101885811,-28.0682234074467,0.615904657294273,0.475968289719508,0.0708057265473729,-2.17323942240759,2.86348622969467,-0.680819464447517,0.331193852979452,0.08590113991764,-0.0940610992444974,-1.77213460394126,2.57712555918582,-0.539551360961151
2,0.05291336839894,-106.168121845005,1000,-83.5083485203731,-28.0674700420089,0.482097784133573,0.426484608410485,0.0663611342218738,-2.01528391488179,2.83737868662913,-0.680950666252327,0.345397308053805,0.0952042697015488,-0.0911864597673742,-1.78747921293468,2.57715399638831,-0.539652385539192
